"No","優先度","主原因","Work名","SalesforceURL","Freee請求書ID","Freee請求書番号","取引先","解決済み取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","請求明細","確認コード","個別確認対象","具体的な確認事項","確認後の対応","自動反映可否","担当","現在の検証メッセージ"
"44","中","契約・商品未確定","MFIW-000334","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOi2AN/view","56681536","INV-0000001170","株式会社石勝エクステリア","株式会社石勝エクステリア","2026-04-20","1716000","","","","Rendery Enterpriseプラン_10アカウント_年払い / 数量:10 / 単価:132,000 / 金額:1,320,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:10 / 単価:-12,000 / 金額:-120,000 / 商品未候補 || セキュリティオプション_シングルサインオン_運用費用_年払い / 数量:1 / 単価:360,000 / 金額:360,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社石勝エクステリア / 請求日: 2026-04-20 || 商品選択: 「年払い割引」 || 商品選択: 「セキュリティオプション_シングルサインオン_運用費用_年払い」","取引先「株式会社石勝エクステリア」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 10、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。 明細「セキュリティオプション_シングルサインオン_運用費用_年払い」（数量 1、単価 360,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"45","中","契約・契約期間未確定","MFIW-000335","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOj2AN/view","56682295","INV-0000001171","野村不動産株式会社","野村不動産株式会社","2026-04-20","198000","","","","Rendery Enterpriseプラン_10アカウント_月額 / 数量:10 / 単価:15,000 / 金額:150,000 / 確定:Rendery Enterpriseプラン || セキュリティオプション（シングルサインオン）_月額 / 数量:1 / 単価:30,000 / 金額:30,000 / 確定:Rendery セキュリティオプション(SSO)_運用費用","C01","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-04-20","取引先「野村不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"46","中","契約・商品未確定","MFIW-000342","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOq2AN/view","56685582","INV-0000001178","近鉄不動産株式会社","近鉄不動産株式会社","2026-04-20","676500","","","","[月額費用]Rendery Enterpriseプラン_11アカウント / 数量:11 / 単価:15,000 / 金額:165,000 / 候補:Rendery Enterpriseプラン || [月額費用]セキュリティオプション+_運用費用 / 数量:1 / 単価:100,000 / 金額:100,000 / 候補:Rendery セキュリティオプション(SSO)_初期費用 || [初月のみ]セキュリティオプション+_初期コスト / 数量:1 / 単価:350,000 / 金額:350,000 / 候補:Rendery セキュリティオプション+_初期費用","C01,P01,P02","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-04-20 || 商品候補確認: 「[月額費用]Rendery Enterpriseプラン_11アカウント」 -> 「Rendery Enterpriseプラン」 || 商品選択: 「[月額費用]セキュリティオプション+_運用費用」 || 商品選択: 「[初月のみ]セキュリティオプション+_初期コスト」","取引先「近鉄不動産株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「[月額費用]Rendery Enterpriseプラン_11アカウント」（数量 11、単価 15,000 円）を商品「Rendery Enterpriseプラン」としてよいか確認する。 明細「[月額費用]セキュリティオプション+_運用費用」（数量 1、単価 100,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。 明細「[初月のみ]セキュリティオプション+_初期コスト」（数量 1、単価 350,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"47","中","契約・契約期間未確定","MFIW-000345","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOt2AN/view","56692848","INV-0000001181","アイリスチトセ株式会社","アイリスチトセ株式会社","2026-04-20","84700","","","","Rendery＿Enterpriseプラン_月額 / 数量:7 / 単価:11,000 / 金額:77,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスチトセ株式会社 / 請求日: 2026-04-20","取引先「アイリスチトセ株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"48","中","契約・商品未確定","MFIW-000346","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOu2AN/view","56693657","INV-0000001182","株式会社フジタ","株式会社フジタ","2026-04-20","924000","","","","Rendery Enterpriseプラン5アカウント_年払い / 数量:5 / 単価:180,000 / 金額:900,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:5 / 単価:-12,000 / 金額:-60,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","取引先「株式会社フジタ」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 5、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"49","中","契約・商品未確定","MFIW-000349","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOx2AN/view","56697026","INV-0000001185","株式会社フジタ","株式会社フジタ","2026-04-20","1293600","","","","Rendery Enterpriseプラン_7アカウント_年払い / 数量:7 / 単価:180,000 / 金額:1,260,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:7 / 単価:-12,000 / 金額:-84,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","取引先「株式会社フジタ」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 7、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"50","中","契約・商品未確定","MFIW-000350","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOy2AN/view","56698344","INV-0000001186","株式会社フジタ","株式会社フジタ","2026-04-20","554400","","","","Rendery Enterpriseプラン_3アカウント_年払い / 数量:3 / 単価:180,000 / 金額:540,000 / 確定:[年払] Rendery Enterpriseプラン || 年払い割引 / 数量:3 / 単価:-12,000 / 金額:-36,000 / 商品未候補","C01,P02","請求区分と契約先: 株式会社フジタ / 請求日: 2026-04-20 || 商品選択: 「年払い割引」","取引先「株式会社フジタ」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。 明細「年払い割引」（数量 3、単価 -12,000 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"51","中","契約・契約期間未確定","MFIW-000351","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjFOz2AN/view","56701208","INV-0000001187","株式会社JBリアルエステート","株式会社JBリアルエステート","2026-04-20","12100","","","","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 株式会社JBリアルエステート / 請求日: 2026-04-20","取引先「株式会社JBリアルエステート」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-04-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。 / 契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"52","高","既存請求明細との照合不一致","MFIW-000087","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtKjB2AV/view","58268807","INV-0000001195","トヨタ・コニック・プロ株式会社","トヨタコニックプロ株式会社","2026-05-12","0","","CP-00000168","INV-0000000074"," / 数量:- / 単価:- / 金額:- / 確定:受託開発","I01","明細照合: Salesforce請求「INV-0000000074」 / Freee請求書ID 58268807","作成済みSalesforce請求「INV-0000000074」とFreee請求書ID 58268807 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"53","高","既存請求明細との照合不一致","MFIW-000090","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Usb9g2AB/view","58486360","INV-0000001198","株式会社ＬＩＸＩＬ住宅研究所","株式会社 LIXIL住宅研究所","2026-05-15","3168000","","CP-00000054","INV-0000000006","保守・運用費 / 数量:1 / 単価:1,200,000 / 金額:1,200,000 / 確定:受託開発 || 運用サポート費 / 数量:1 / 単価:840,000 / 金額:840,000 / 確定:受託開発 || Renderyライセンス費 / 数量:1 / 単価:840,000 / 金額:840,000 / 確定:受託開発","I01","明細照合: Salesforce請求「INV-0000000006」 / Freee請求書ID 58486360","作成済みSalesforce請求「INV-0000000006」とFreee請求書ID 58486360 の明細を、Freee明細ID・件名・数量・単価・金額単位で比較する。 Salesforce側の明細を残す・修正する・不足分を追加するのどれが正しいか確認する。","既存請求明細を直接削除せず、Freee原本との差分を確定してから不足明細の追加または誤明細の訂正を行う。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
"54","中","契約・契約期間未確定","MFIW-000222","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKM2A3/view","58573601","INV-0000001224","松栄不動産株式会社(アパマンショップ仙台東口店)","松栄不動産株式会社(アパマンショップ仙台東口店)","2026-05-20","12100","","","","knock knock AI Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 松栄不動産株式会社(アパマンショップ仙台東口店) / 請求日: 2026-05-20","取引先「松栄不動産株式会社(アパマンショップ仙台東口店)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"55","中","契約・契約期間未確定","MFIW-000224","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKO2A3/view","58573606","INV-0000001226","株式会社ハートランド","株式会社ハートランド","2026-05-20","12100","","","","knock knock AI_Basicプラン(月額) / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 株式会社ハートランド / 請求日: 2026-05-20","取引先「株式会社ハートランド」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","請求書移行Workの取込ステータスが反映可能ではありません。検証を実行し、要確認事項を解消してください。 / 契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"56","中","契約・契約期間未確定","MFIW-000225","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKP2A3/view","58573608","INV-0000001227","西和不動産株式会社 栗東店","西和不動産株式会社 栗東店","2026-05-20","12100","","","","knock knock AI Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:knock knock AI Basicプラン(50クレジット)","C01","請求区分と契約先: 西和不動産株式会社 栗東店 / 請求日: 2026-05-20","取引先「西和不動産株式会社 栗東店」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"57","中","契約・商品未確定","MFIW-000229","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKT2A3/view","58573614","INV-0000001231","株式会社ヨコハマ地所","株式会社ヨコハマ地所","2026-05-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-05-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「株式会社ヨコハマ地所」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"58","中","商品未確定","MFIW-000230","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKU2A3/view","58573616","INV-0000001232","リアルティホールディングス株式会社","リアルティホールディングス株式会社","2026-05-20","175450","","CP-00000126","","knock knock AI_Enterpriseプラン_1200クレジット / 数量:1,100 / 単価:145 / 金額:159,500 / 商品未候補","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","明細「knock knock AI_Enterpriseプラン_1200クレジット」（数量 1,100、単価 145 円）に対応する商品マスタを選ぶ。該当商品がなければ、汎用商品への集約か商品マスタ追加かを判断する。","確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"59","中","契約・商品未確定","MFIW-000233","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKX2A3/view","58573621","INV-0000001235","アグレ都市デザイン株式会社","アグレ都市デザイン株式会社","2026-05-20","12100","","","","knock knock AI_Basicプラン / 数量:1 / 単価:11,000 / 金額:11,000 / 候補:knock knock AI Basicプラン(50クレジット)","C01,P01","請求区分と契約先: アグレ都市デザイン株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「knock knock AI_Basicプラン」 -> 「knock knock AI Basicプラン(50クレジット)」","取引先「アグレ都市デザイン株式会社」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。 明細「knock knock AI_Basicプラン」（数量 1、単価 11,000 円）を商品「knock knock AI Basicプラン(50クレジット)」としてよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 確定商品マスタを設定する。今後も同じ明細名が発生する場合は、Freee請求明細商品マッピングも登録する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。 / 商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"60","中","契約・契約期間未確定","MFIW-000235","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKZ2A3/view","58573626","INV-0000001237","株式会社JR東日本建築設計","株式会社JR東日本建築設計","2026-05-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-05-20","取引先「株式会社JR東日本建築設計」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"61","中","契約・契約期間未確定","MFIW-000236","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKa2AN/view","58573627","INV-0000001238","アイリスオーヤマ株式会社(空間デザイン部)","アイリスオーヤマ株式会社(空間デザイン部)","2026-05-20","12100","","","","RenderyEnterpriseプラン_月額 / 数量:1 / 単価:11,000 / 金額:11,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-05-20","取引先「アイリスオーヤマ株式会社(空間デザイン部)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"62","中","契約・契約期間未確定","MFIW-000237","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBV2A3/view","58573629","INV-0000001239","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-05-20","48400","","","","RenderyEnterpriseプラン_月額 / 数量:4 / 単価:11,000 / 金額:44,000 / 確定:[OLD] Rendery Enterpriseプラン(2025年9月まで)","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-05-20","取引先「アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"63","中","契約・契約期間未確定","MFIW-000238","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBW2A3/view","58573631","INV-0000001240","九州旅客鉄道株式会社(博多設備区)","九州旅客鉄道株式会社(博多設備区)","2026-05-20","8800","","","","Rendery_Pro_月額利用料 / 数量:1 / 単価:8,000 / 金額:8,000 / 確定:Rendery Proプラン","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-05-20","取引先「九州旅客鉄道株式会社(博多設備区)」の請求が、月契約・年契約・単発請求のどれに該当するか確認する。 既存の有効契約へ紐づけるか、新しいFreee管理契約を作成するか確認する。 請求日 2026-05-20 を含む契約期間を作成または選択してよいか確認する。","確認した商品と請求区分を基に、取引先・商品・件名キーワード・請求区分が一意になるFreee請求契約ルールを登録して有効化する。 修正後にWorkを再検証し、ステータスが「反映可能」になったことを確認して本反映する。","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","契約管理を特定できません。取引先に有効な契約管理があるか確認してください。 / 契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
