"No","優先度","主原因","Work名","Salesforce URL","Freee請求書ID","取引先","請求日","請求金額","契約管理","契約期間","作成済み請求","確認コード","個別確認対象","自動反映可否","主担当","対応状況","確認結果","対応者","確認日","備考"
"61","中","契約・契約期間未確定","MFIW-000236","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjSKa2AN/view","58573627","アイリスオーヤマ株式会社(空間デザイン部)","2026-05-20","12100","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"62","中","契約・契約期間未確定","MFIW-000237","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBV2A3/view","58573629","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-05-20","48400","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"63","中","契約・契約期間未確定","MFIW-000238","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBW2A3/view","58573631","九州旅客鉄道株式会社(博多設備区)","2026-05-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"64","中","契約・契約期間未確定","MFIW-000239","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBX2A3/view","58573632","株式会社ジョイフル本田","2026-05-20","60500","","","","C01","請求区分と契約先: 株式会社ジョイフル本田 / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"65","中","契約・契約期間未確定","MFIW-000245","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBd2AN/view","58573642","九州旅客鉄道株式会社(建設工事部施設課)","2026-05-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"66","中","契約・契約期間未確定","MFIW-000247","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBf2AN/view","58573647","インフィニティ株式会社","2026-05-20","8800","","","","C01","請求区分と契約先: インフィニティ株式会社 / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"67","中","契約・商品未確定","MFIW-000248","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBg2AN/view","58573648","東急リゾーツ＆ステイ株式会社","2026-05-20","108900","","","","C01,P01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「Rendery　エンタープライズプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"68","中","契約・契約期間未確定","MFIW-000255","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTBn2AN/view","58573663","九州旅客鉄道株式会社(開発工事部)","2026-05-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"69","中","契約・契約期間未確定","MFIW-000257","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmb2AF/view","58573667","株式会社ＬＩＸＩＬ住宅研究所","2026-05-20","8800","","","","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"70","中","商品未確定","MFIW-000259","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmd2AF/view","58690508","株式会社大塚商会","2026-05-20","42240","","CP-00000061","","P01","商品候補確認: 「Rendery_Pro_月額利用料(ジェイアール北海道エンジニアリング株式会社分)」 -> 「[代理販売20%] Rendery Proプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"71","中","商品未確定","MFIW-000260","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTme2AF/view","58690758","株式会社大塚商会","2026-05-20","14080","","CP-00000061","","P01","商品候補確認: 「Rendery_Pro_月額利用料_注文番号：405342479」 -> 「[代理販売20%] Rendery Proプラン」","条件付き可（候補商品が一意であることを確認）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"72","中","契約・契約期間未確定","MFIW-000261","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmf2AF/view","58691585","株式会社アーキテクト・ディベロッパー","2026-05-20","52800","","","","C01","請求区分と契約先: 株式会社アーキテクト・ディベロッパー / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"73","中","契約・契約期間未確定","MFIW-000262","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmg2AF/view","58708849","三菱地所株式会社(DX推進部)","2026-05-20","17600","","","","C01","請求区分と契約先: 三菱地所株式会社(DX推進部) / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"74","中","商品未確定","MFIW-000264","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmi2AF/view","58709686","日鉄興和不動産株式会社","2026-05-20","1848000","","CP-00000076","","P02","商品選択: 「年払い割引」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"75","中","契約・契約期間未確定","MFIW-000265","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmj2AF/view","58710933","野村不動産株式会社","2026-05-20","198000","","","","C01","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-05-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"76","中","契約・商品未確定","MFIW-000267","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTml2AF/view","58711460","近鉄不動産株式会社","2026-05-20","291500","","","","C01,P01,P02","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-05-20 || 商品候補確認: 「[月額費用]Rendery Enterpriseプラン_11アカウント」 -> 「Rendery Enterpriseプラン」 || 商品選択: 「[月額費用]セキュリティオプション+_運用費用」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"77","中","商品未確定","MFIW-000268","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WjTmm2AF/view","58712318","若築建設株式会社","2026-05-20","105600","","CP-00000102","","P02","商品選択: 「Rendery Proプラン1アカウント_年払い」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"78","中","契約・契約期間未確定","MFIW-000114","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtKuT2AV/view","58733986","SFテスト","2026-05-21","33000","","","","C01","請求区分と契約先: SFテスト / 請求日: 2026-05-21","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"79","高","既存請求明細との照合不一致","MFIW-000116","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtKw62AF/view","58940950","クウジット株式会社","2026-05-22","165000","","CP-00000164","INV-0000000100","I01","明細照合: Salesforce請求「INV-0000000100」 / Freee請求書ID 58940950","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"80","中","契約・契約期間未確定","MFIW-000125","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtM9t2AF/view","58810995","どさんこ不動産","2026-06-19","33000","","","","C01","請求区分と契約先: どさんこ不動産 / 請求日: 2026-06-19","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"81","高","金額不一致","MFIW-000126","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtM9u2AF/view","59151137","帝国不動産株式会社","2026-06-19","52800","","CP-00000196","INV-0000000109","A02","金額差異: 請求金額 52,800 円 / 明細合計 96,000 円 / 差額 43,200 円","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"82","中","契約・契約期間未確定","MFIW-000127","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000UtM9v2AF/view","60979452","不動産A株式会社","2026-06-19","26400","","","INV-0000000003","C01","請求区分と契約先: 不動産A株式会社 / 請求日: 2026-06-19","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"83","高","既存請求明細との照合不一致","MFIW-000158","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wifcv2AB/view","60861151","TC神鋼不動産株式会社","2026-06-20","12100","","CP-00000294","INV-0000000133","I01","明細照合: Salesforce請求「INV-0000000133」 / Freee請求書ID 60861151","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"84","中","契約・契約期間未確定","MFIW-000164","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaJ2AR/view","60792923","近鉄不動産株式会社","2026-06-20","324500","","","","C01","請求区分と契約先: 近鉄不動産株式会社 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"85","高","既存請求明細との照合不一致","MFIW-000166","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaL2AR/view","60861149","株式会社TAKUTO","2026-06-20","12100","","CP-00000149","INV-0000000152","I01","明細照合: Salesforce請求「INV-0000000152」 / Freee請求書ID 60861149","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"86","中","契約・契約期間未確定","MFIW-000168","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaN2AR/view","60861154","株式会社ハートランド","2026-06-20","12100","","","","C01","請求区分と契約先: 株式会社ハートランド / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"87","中","契約・契約期間未確定","MFIW-000169","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaO2AR/view","60861155","西和不動産株式会社 栗東店","2026-06-20","12100","","","","C01","請求区分と契約先: 西和不動産株式会社 栗東店 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"88","高","既存請求明細との照合不一致","MFIW-000170","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaP2AR/view","60861156","株式会社香川不動産買取センター","2026-06-20","12100","","CP-00000136","INV-0000000154","I01","明細照合: Salesforce請求「INV-0000000154」 / Freee請求書ID 60861156","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"89","高","商品名の類似性不足","MFIW-000171","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaQ2AR/view","60861157","株式会社博進コスモプラザ","2026-06-20","12100","","CP-00000134","INV-0000000155","P03","商品誤紐づけ確認: 「knock knock AI_Basicプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"90","中","契約・契約期間未確定","MFIW-000173","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaS2AR/view","60861159","株式会社ヨコハマ地所","2026-06-20","12100","","","","C01","請求区分と契約先: 株式会社ヨコハマ地所 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"91","中","商品未確定","MFIW-000174","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaT2AR/view","60861161","リアルティホールディングス株式会社","2026-06-20","175450","","CP-00000126","","P02","商品選択: 「knock knock AI_Enterpriseプラン_1200クレジット」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"92","高","既存請求明細との照合不一致","MFIW-000175","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaU2AR/view","60861162","株式会社穂積住宅","2026-06-20","36300","","CP-00000124","INV-0000000156","I01","明細照合: Salesforce請求「INV-0000000156」 / Freee請求書ID 60861162","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"93","高","商品名の類似性不足","MFIW-000176","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaV2AR/view","60861164","株式会社イーグランド","2026-06-20","12100","","CP-00000120","INV-0000000157","P03","商品誤紐づけ確認: 「knock knock AI_Basicプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"94","高","商品名の類似性不足","MFIW-000177","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaW2AR/view","60861166","株式会社ハウスプラザ","2026-06-20","12100","","CP-00000118","INV-0000000158","P03","商品誤紐づけ確認: 「knock knock AI_Basicプラン」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"95","中","契約・契約期間未確定","MFIW-000178","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WicaX2AR/view","60861167","株式会社JR東日本建築設計","2026-06-20","8800","","","","C01","請求区分と契約先: 株式会社JR東日本建築設計 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"96","中","契約・契約期間未確定","MFIW-000179","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPL2A3/view","60861169","アイリスオーヤマ株式会社(空間デザイン部)","2026-06-20","12100","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(空間デザイン部) / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"97","中","契約・契約期間未確定","MFIW-000180","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPM2A3/view","60861170","アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム)","2026-06-20","48400","","","","C01","請求区分と契約先: アイリスオーヤマ株式会社(ストアソリューション営業部ストアデザインチーム) / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"98","中","契約・契約期間未確定","MFIW-000181","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPN2A3/view","60861171","九州旅客鉄道株式会社(博多設備区)","2026-06-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(博多設備区) / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"99","中","契約・契約期間未確定","MFIW-000183","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPP2A3/view","60861173","株式会社デザインアーク","2026-06-20","181500","","","","C01","請求区分と契約先: 株式会社デザインアーク / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"100","中","契約・契約期間未確定","MFIW-000187","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPT2A3/view","60861179","九州旅客鉄道株式会社(建設工事部施設課)","2026-06-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(建設工事部施設課) / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"101","中","契約・契約期間未確定","MFIW-000189","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPV2A3/view","60861181","東急リゾーツ＆ステイ株式会社","2026-06-20","48400","","","","C01","請求区分と契約先: 東急リゾーツ＆ステイ株式会社 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"102","高","商品名の類似性不足","MFIW-000193","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPZ2A3/view","60861185","株式会社エージェント","2026-06-20","12100","","CP-00000132","INV-0000000142","P03","商品誤紐づけ確認: 「knock knock AI Basicプラン(月額)」 -> 「[OLD] Rendery Enterpriseプラン(2025年9月まで)」","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"103","高","既存請求明細との照合不一致","MFIW-000194","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPa2AN/view","60861186","ホームトレードセンター株式会社","2026-06-20","12100","","CP-00000151","INV-0000000143","I01","明細照合: Salesforce請求「INV-0000000143」 / Freee請求書ID 60861186","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"104","高","既存請求明細との照合不一致","MFIW-000195","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPb2AN/view","60861187","株式会社アズスタット","2026-06-20","12100","","CP-00000152","INV-0000000144","I01","明細照合: Salesforce請求「INV-0000000144」 / Freee請求書ID 60861187","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"105","中","契約・契約期間未確定","MFIW-000196","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPc2AN/view","60861188","九州旅客鉄道株式会社(開発工事部)","2026-06-20","8800","","","","C01","請求区分と契約先: 九州旅客鉄道株式会社(開発工事部) / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"106","中","契約・契約期間未確定","MFIW-000198","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WhTPe2AN/view","60861191","株式会社ＬＩＸＩＬ住宅研究所","2026-06-20","8800","","","","C01","請求区分と契約先: 株式会社ＬＩＸＩＬ住宅研究所 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"107","高","商品名の類似性不足","MFIW-000202","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDM2AZ/view","60901483","株式会社大塚商会","2026-06-20","14080","","CP-00000061","INV-0000000162","P03","商品誤紐づけ確認: 「Rendery_Pro_月額利用料_注文番号：405342480」 -> 「[代理販売20%] Rendery Proプラン」","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"108","中","契約・契約期間未確定","MFIW-000203","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDN2AZ/view","60904124","三菱地所株式会社(DX推進部)","2026-06-20","17600","","","","C01","請求区分と契約先: 三菱地所株式会社(DX推進部) / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"109","中","契約・契約期間未確定","MFIW-000204","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDO2AZ/view","60905395","野村不動産株式会社","2026-06-20","198000","","","","C01","請求区分と契約先: 野村不動産株式会社 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"110","中","商品未確定","MFIW-000206","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDQ2AZ/view","60906771","梅林建設株式会社","2026-06-20","924000","","CP-00000105","","P02","商品選択: 「年払い割引」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"111","中","契約・契約期間未確定","MFIW-000207","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDR2AZ/view","60907136","株式会社デザインアーク（東京スペースソリューション第１営業所）","2026-06-20","33000","","","","C01","請求区分と契約先: 株式会社デザインアーク（東京スペースソリューション第１営業所） / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"112","中","契約・商品未確定","MFIW-000208","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDS2AZ/view","60907570","株式会社NTTファシリティーズ","2026-06-20","1650000","","","","C01,P02","請求区分と契約先: 株式会社NTTファシリティーズ / 請求日: 2026-06-20 || 商品選択: 「Rendery Enterpriseプラン_10アカウント_月払い費用」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"113","中","契約・契約期間未確定","MFIW-000209","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDT2AZ/view","60946048","合同会社小島屋","2026-06-20","8800","","","","C01","請求区分と契約先: 合同会社小島屋 / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"114","中","商品未確定","MFIW-000211","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDV2AZ/view","60952602","創建ホーム株式会社","2026-06-20","1108800","","CP-00000110","","P02","商品選択: 「年払い割引」","商品確定後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"115","中","契約・契約期間未確定","MFIW-000212","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDW2AZ/view","60952846","株式会社コスモスイニシア（流通事業部）","2026-06-20","165000","","","","C01","請求区分と契約先: 株式会社コスモスイニシア（流通事業部） / 請求日: 2026-06-20","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"116","高","既存請求明細との照合不一致","MFIW-000213","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDX2AZ/view","60953208","株式会社大塚商会","2026-06-20","84480","","CP-00000061","INV-0000000165","I01","明細照合: Salesforce請求「INV-0000000165」 / Freee請求書ID 60953208","不可（個別確認が必要）","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"117","中","その他","MFIW-000215","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WihDZ2AZ/view","60953721","三菱地所レジデンス株式会社","2026-06-20","52800","","CP-00000069","","O01","検証メッセージを確認","再検証後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"118","中","契約・商品未確定","MFIW-000156","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000WieAb2AJ/view","61438597","コクヨ株式会社 ワークプレイス事業本部 スペースソリューション本部","2026-06-25","544500","","","","C01,P02","請求区分と契約先: コクヨ株式会社 ワークプレイス事業本部 スペースソリューション本部 / 請求日: 2026-06-25 || 商品選択: 「パースディレクション」 || 商品選択: 「※パース製作も含む」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"119","中","契約・商品未確定","MFIW-000157","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wi6a42AB/view","61466312","株式会社コスモスイニシア","2026-06-26","440000","","","","C01,P02","請求区分と契約先: 株式会社コスモスイニシア / 請求日: 2026-06-26 || 商品選択: 「プロポーザルに関するディレクション業務（着手金）」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"120","中","契約・商品未確定","MFIW-000150","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wi4gd2AB/view","61624916","株式会社オリバー","2026-06-29","3300000","","","","C01,P02","請求区分と契約先: 株式会社オリバー / 請求日: 2026-06-29 || 商品選択: 「着手金として」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"121","中","契約・商品未確定","MFIW-000151","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wi4ge2AB/view","61633340","株式会社ＬＩＸＩＬ","2026-06-29","13624600","","","","C01,P02","請求区分と契約先: 株式会社ＬＩＸＩＬ / 請求日: 2026-06-29 || 商品選択: 「AIによる空間提案ツール開発 （2026年6⽉-9⽉）」 || 商品選択: 「要件定義・コンサルティング」 || 商品選択: 「UX/UIデザイン」 || 商品選択: 「フロントエンド開発」 || 商品選択: 「AI画像⽣成パイプライン」 || 商品選択: 「バックエンド/API開発」 || 商品選択: 「テスト・品質保証」 || 商品選択: 「PM・運⽤準備」 || 商品選択: 「システム保守運⽤費⽤ （2026年9⽉-2027年3⽉）」 || 商品選択: 「AI 画像⽣成 API 費⽤ ※1000組×1組当たり4枚画像⽣成想定」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
"122","中","契約・商品未確定","MFIW-000152","https://samuraiarchitects.lightning.force.com/lightning/r/Mig_FreeeInvoiceWork__c/a0FRB00000Wi4gf2AB/view","61633945","株式会社ＬＩＸＩＬ","2026-06-29","3861000","","","","C01,P02","請求区分と契約先: 株式会社ＬＩＸＩＬ / 請求日: 2026-06-29 || 商品選択: 「着手金」","契約ルール登録後に可","経理（内容判断）／システム管理者（マスタ・ルール設定）","未確認","","","",""
