attributes,Id,Name,Account__c,MRR__c,StageName__c,ContractUpdate__c,ProductCategory__c,StartDate__c,CreatedDate,LastModifiedDate
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6RYAV'}",a08RB00001Z1G6RYAV,イナバインターナショナル株式会社 の取引,001RB00001VTr0MYAT,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6SYAV'}",a08RB00001Z1G6SYAV,株式会社THREE,001RB00001VTr0KYAT,17600,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6TYAV'}",a08RB00001Z1G6TYAV,株式会社オフィスネット,001RB00001VTrFnYAL,17600,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6WYAV'}",a08RB00001Z1G6WYAV,株式会社アイリン の取引,001RB00001VTqnPYAT,17600,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6XYAV'}",a08RB00001Z1G6XYAV,三井住友建設 の取引,001RB00001VTqeXYAT,8800,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6ZYAV'}",a08RB00001Z1G6ZYAV,株式会社ケン・プロパティマネジメント,001RB00001VTrGkYAL,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6aYAF'}",a08RB00001Z1G6aYAF,株式会社エドケンハウス,001RB00001VTrFoYAL,8800,Closed Lost,月,Rendery,2026-03-01,2026-06-21T16:02:53.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6bYAF'}",a08RB00001Z1G6bYAF,創建ホーム株式会社,001RB00001VTrm3YAD,84000,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-28T01:24:06.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6cYAF'}",a08RB00001Z1G6cYAF,株式会社中村不動産開発,001RB00001VTrGlYAL,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6dYAF'}",a08RB00001Z1G6dYAF,オフィスコム株式会社,001RB00001VTrGnYAL,17600,ValueProposition,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6eYAF'}",a08RB00001Z1G6eYAF,株式会社丹青社,001RB00001VTr2tYAD,250000,ValueProposition,月,Rendery,2026-09-01,2026-06-21T16:02:53.000+0000,2026-07-23T04:22:06.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6fYAF'}",a08RB00001Z1G6fYAF,田中土建工業株式会社,001RB00001VTqnhYAD,70400,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-22T12:12:00.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6hYAF'}",a08RB00001Z1G6hYAF,株式会社竹中工務店,001RB00001VTrmaYAD,75000,Prospecting,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6iYAF'}",a08RB00001Z1G6iYAF,大京穴吹不動産株式会社,001RB00001VTrUmYAL,93500,ValueProposition,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6jYAF'}",a08RB00001Z1G6jYAF,信和不動産株式会社 の取引,001RB00001VTrGoYAL,175000,Negotiation,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6kYAF'}",a08RB00001Z1G6kYAF,株式会社ひなたや の取引,001RB00001VTrGqYAL,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6rYAF'}",a08RB00001Z1G6rYAF,株式会社 トーケン,001RB00001VTrHrYAL,88000,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6sYAF'}",a08RB00001Z1G6sYAF,株式会社紀伊國屋書店,001RB00001VTrUSYA1,40000,Closed Won,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6xYAF'}",a08RB00001Z1G6xYAF,株式会社アールシーコア,,250000,Closed Won,月,Rendery,2026-05-01,2026-06-21T16:02:53.000+0000,2026-08-10T02:49:11.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6yYAF'}",a08RB00001Z1G6yYAF,株式会社REデザイン の取引,,17600,ValueProposition,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G6zYAF'}",a08RB00001Z1G6zYAF,株式会社長谷工コーポレーション,,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G70YAF'}",a08RB00001Z1G70YAF,ナックハウスパートナー 株式会社,,29700,Prospecting,月,knock knock AI,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G75YAF'}",a08RB00001Z1G75YAF,YKK AP 株式会社,,150000,Closed Lost,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G77YAF'}",a08RB00001Z1G77YAF,株式会社大伸社ディライト の取引,,17600,Negotiation,月,Rendery,,2026-06-21T16:02:53.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7jYAF'}",a08RB00001Z1G7jYAF,㈱ライフステージ の取引,001RB00001VTr0AYAT,75000,Closed Won,月,Rendery,2026-08-01,2026-06-21T16:02:54.000+0000,2026-08-25T00:29:06.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7mYAF'}",a08RB00001Z1G7mYAF,株式会社NTTファシリティーズ の取引,,150000,Closed Won,月,Rendery,2026-06-01,2026-06-21T16:02:54.000+0000,2026-08-10T02:16:33.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7nYAF'}",a08RB00001Z1G7nYAF,フロアマイスター株式会社 の取引,,8800,Closed Lost,月,Rendery,2026-06-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7oYAF'}",a08RB00001Z1G7oYAF,大和ハウス工業 株式会社,,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7pYAF'}",a08RB00001Z1G7pYAF,株式会社グッドライフ の取引,001RB00001VTrYmYAL,75000,ValueProposition,月,Rendery,2026-10-01,2026-06-21T16:02:54.000+0000,2026-07-29T06:21:00.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7qYAF'}",a08RB00001Z1G7qYAF,株式会社ReGo,,12100,Closed Won,月,knock knock AI,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7rYAF'}",a08RB00001Z1G7rYAF,東京ガスリノベーション株式会社,,12100,Prospecting,月,knock knock AI,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7sYAF'}",a08RB00001Z1G7sYAF,笹木産業株式会社,,8800,Closed Lost,月,Rendery,2026-04-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7tYAF'}",a08RB00001Z1G7tYAF,ヒューリックプロパティソリューション株式会社,,175000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-22T03:59:31.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7vYAF'}",a08RB00001Z1G7vYAF,京阪電鉄不動産株式会社,,8800,Qualification,月,Rendery,2026-03-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7wYAF'}",a08RB00001Z1G7wYAF,株式会社久保建築設計 の取引,,75000,Qualification,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7xYAF'}",a08RB00001Z1G7xYAF,北斗工業エンヂニアリング　株式会社 の取引,,8800,Closed Lost,月,Rendery,2026-04-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G7yYAF'}",a08RB00001Z1G7yYAF,東宝ハウス調布,,60500,Closed Won,月,knock knock AI,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G80YAF'}",a08RB00001Z1G80YAF,ジーク株式会社,,75000,Closed Won,月,Rendery,2026-04-01,2026-06-21T16:02:54.000+0000,2026-08-10T02:16:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G86YAF'}",a08RB00001Z1G86YAF,realize の取引,,8800,Qualification,月,Rendery,2026-09-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G87YAF'}",a08RB00001Z1G87YAF,Phantom株式会社,,17600,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G88YAF'}",a08RB00001Z1G88YAF,梅林建設株式会社 の取引,,75000,Closed Won,年,Rendery,2026-06-01,2026-06-21T16:02:54.000+0000,2026-08-17T06:51:25.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G89YAF'}",a08RB00001Z1G89YAF,株式会社小林創建,,8800,Prospecting,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8AYAV'}",a08RB00001Z1G8AYAV,東建コーポレーション株式会社,,17600,Prospecting,月,Rendery,2026-10-01,2026-06-21T16:02:54.000+0000,2026-07-28T11:55:20.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8BYAV'}",a08RB00001Z1G8BYAV,錢高組,,26400,Closed Won,月,,,2026-06-21T16:02:54.000+0000,2026-06-21T16:02:54.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8DYAV'}",a08RB00001Z1G8DYAV,株式会社おきなわアセットブリッジ,,12100,Prospecting,月,knock knock AI,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8EYAV'}",a08RB00001Z1G8EYAV,相鉄不動産株式会社,,150000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-22T12:10:51.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8FYAV'}",a08RB00001Z1G8FYAV,株式会社E・M・LUMBER,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8GYAV'}",a08RB00001Z1G8GYAV,株式会社小河原建設 の取引,,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8HYAV'}",a08RB00001Z1G8HYAV,ストレッチテント・カンパニー,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8KYAV'}",a08RB00001Z1G8KYAV,錢高組,,26400,ValueProposition,月,,,2026-06-21T16:02:54.000+0000,2026-06-21T16:02:54.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8MYAV'}",a08RB00001Z1G8MYAV,株式会社B-PROJECT の取引 (B),,66000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8RYAV'}",a08RB00001Z1G8RYAV,iFIND株式会社 (アイリスグループ),,132000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8SYAV'}",a08RB00001Z1G8SYAV,東急リゾーツ&ステイ株式会社,,99000,Closed Won,月,Rendery,2024-11-01,2026-06-21T16:02:54.000+0000,2026-08-17T06:43:55.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8UYAV'}",a08RB00001Z1G8UYAV,大東建託株式会社 流通設計部 (コピー),,15000,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-28T01:24:06.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8WYAV'}",a08RB00001Z1G8WYAV,大和財託株式会社(A),,150000,Closed Won,月,Rendery,2025-10-01,2026-06-21T16:02:54.000+0000,2026-08-17T06:48:50.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8XYAV'}",a08RB00001Z1G8XYAV,株式会社ルミネ,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8YYAV'}",a08RB00001Z1G8YYAV,株式会社夢のおてつだい,,55000,Closed Won,月,knock knock AI,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8ZYAV'}",a08RB00001Z1G8ZYAV,株式会社久家設計事務所,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8aYAF'}",a08RB00001Z1G8aYAF,株式会社アースウィンド,,8800,ValueProposition,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8bYAF'}",a08RB00001Z1G8bYAF,福岡地所株式会社,,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8dYAF'}",a08RB00001Z1G8dYAF,株式会社サンケイビル,,70000,Closed Won,月,Rendery,2026-05-01,2026-06-21T16:02:54.000+0000,2026-08-10T02:16:39.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8eYAF'}",a08RB00001Z1G8eYAF,47内装株式会社(B),,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8fYAF'}",a08RB00001Z1G8fYAF,関西不動産販売株式会社,,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8gYAF'}",a08RB00001Z1G8gYAF,株式会社スタイルテック総合計画,,75000,Closed Won,月,,,2026-06-21T16:02:54.000+0000,2026-06-21T16:02:54.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8iYAF'}",a08RB00001Z1G8iYAF,株式会社フロンティアコンサルティング,,30000,Applove,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8kYAF'}",a08RB00001Z1G8kYAF,三井不動産株式会社,,150000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8lYAF'}",a08RB00001Z1G8lYAF,NOD&W,,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8mYAF'}",a08RB00001Z1G8mYAF,明石建築設計事務所 の取引,,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8nYAF'}",a08RB00001Z1G8nYAF,三菱地所レジデンス　株式会社,001RB00001VTqf7YAD,48000,Closed Lost,月,Rendery,2026-07-01,2026-06-21T16:02:54.000+0000,2026-07-22T12:37:16.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8oYAF'}",a08RB00001Z1G8oYAF,（株）トピアホーム,,35200,ValueProposition,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8pYAF'}",a08RB00001Z1G8pYAF,アイリスオーヤマ株式会社(S),,90000,Closed Won,月,Rendery,2026-07-01,2026-06-21T16:02:54.000+0000,2026-08-10T02:16:18.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8qYAF'}",a08RB00001Z1G8qYAF,8Y8 の取引,,26400,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8rYAF'}",a08RB00001Z1G8rYAF,前田建設工業 株式会社(S),,75000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8tYAF'}",a08RB00001Z1G8tYAF,株式会社a-tech,,26400,ValueProposition,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8uYAF'}",a08RB00001Z1G8uYAF,株式会社コロワイド,,75000,Prospecting,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8vYAF'}",a08RB00001Z1G8vYAF,株式会社　渡辺工務店,,8800,ValueProposition,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8xYAF'}",a08RB00001Z1G8xYAF,マーケットクリエイティブ株式会社,,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G8yYAF'}",a08RB00001Z1G8yYAF,株式会社ONE　HOUSE,,8800,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G92YAF'}",a08RB00001Z1G92YAF,柏井建設株式会社　建築設計部（B),,75000,Closed Won,月,Rendery,2026-06-01,2026-06-21T16:02:54.000+0000,2026-08-17T06:52:23.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G93YAF'}",a08RB00001Z1G93YAF,株式会社アイ・キューブ,,75000,Prospecting,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G94YAF'}",a08RB00001Z1G94YAF,花菱不動産株式会社,,17600,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G95YAF'}",a08RB00001Z1G95YAF,株式会社　東日本朝日株式会社,,8800,Prospecting,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G96YAF'}",a08RB00001Z1G96YAF,株式会社コンセプション,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G97YAF'}",a08RB00001Z1G97YAF,オフィスナビ株式会社,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9AYAV'}",a08RB00001Z1G9AYAV,株式会社MYAT の取引,,8800,Closed Won,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9BYAV'}",a08RB00001Z1G9BYAV,株式会社WAKA,,26400,Qualification,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9EYAV'}",a08RB00001Z1G9EYAV,野村不動産株式会社(S),,150000,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9KYAV'}",a08RB00001Z1G9KYAV,AURLA,,8800,Closed Lost,月,Rendery,2026-04-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9LYAV'}",a08RB00001Z1G9LYAV,Egg design works,,8800,Closed Lost,月,Rendery,2026-04-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9OYAV'}",a08RB00001Z1G9OYAV,軒軒設計一級建築士事務所,,8800,Closed Lost,月,Rendery,2026-05-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9QYAV'}",a08RB00001Z1G9QYAV,有限会社双建工業,,26400,Prospecting,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9RYAV'}",a08RB00001Z1G9RYAV,遠藤友羅,,11000,Closed Lost,月,knock knock AI,2026-04-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9SYAV'}",a08RB00001Z1G9SYAV,森ビル株式会社設計部,,26400,Closed Lost,月,Rendery,,2026-06-21T16:02:54.000+0000,2026-07-19T04:40:24.000+0000
"{'type': 'Opportunity__c', 'url': '/services/data/v67.0/sobjects/Opportunity__c/a08RB00001Z1G9TYAV'}",a08RB00001Z1G9TYAV,LOLT,,11000,Closed Lost,月,knock knock AI,2026-03-01,2026-06-21T16:02:54.000+0000,2026-07-30T04:29:21.000+0000
